OCC_CODE,Occupation title,Level,Employed,Employment relative standard error,Hourly mean wage,Annual Mean wage,Mean wage RSE,Hourly Median wage,Annual median wage
13-1151,Training and Development Specialists,detailed,"318,040",0.7,32.43,"67,440",0.3,30.14,"62,700"
13-1160,Market Research Analysts and Marketing Specialists,broad,"690,160",0.7,35.56,"73,970",0.5,31.64,"65,810"
13-1161,Market Research Analysts and Marketing Specialists,detailed,"690,160",0.7,35.56,"73,970",0.5,31.64,"65,810"
13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,"1,444,420",0.5,40.53,"84,290",0.3,37.22,"77,420"
13-2000,Financial Specialists,minor,"2,755,470",0.4,41.11,"85,510",0.3,35.5,"73,840"
13-2010,Accountants and Auditors,broad,"1,274,620",0.5,39.26,"81,660",0.3,35.37,"73,560"
13-2011,Accountants and Auditors,detailed,"1,274,620",0.5,39.26,"81,660",0.3,35.37,"73,560"
13-2020,Property Appraisers and Assessors,broad,"55,990",3.2,31.55,"65,630",1.4,28.2,"58,650"
13-2020,Property Appraisers and Assessors,detailed,"55,990",3.2,31.55,"65,630",1.4,28.2,"58,650"
13-2030,Budget Analysts,broad,"49,260",1.1,39.75,"82,690",0.4,37.97,"78,970"
13-2031,Budget Analysts,detailed,"49,260",1.1,39.75,"82,690",0.4,37.97,"78,970"
13-2040,Credit Analysts,broad,"72,090",2.4,41.43,"86,170",1.2,36.05,"74,970"
13-2041,Credit Analysts,detailed,"72,090",2.4,41.43,"86,170",1.2,36.05,"74,970"
13-2052,Personal Financial Advisors,detailed,"218,050",1.7,58.89,"122,490",1.2,42.95,"89,330"
13-2053,Insurance Underwriters,detailed,"101,790",2.3,38.65,"80,390",0.9,34.51,"71,790"
13-2060,Financial Examiners,broad,"68,210",2.2,44.58,"92,730",1.4,39.15,"81,430"
13-2061,Financial Examiners,detailed,"68,210",2.2,44.58,"92,730",1.4,39.15,"81,430"
13-2070,Credit Counselors and Loan Officers,broad,"339,470",1.1,35.81,"74,490",0.6,29.63,"61,640"
13-2071,Credit Counselors,detailed,"30,770",3.6,24.01,"49,940",0.9,22.2,"46,170"
13-2072,Loan Officers,detailed,"308,700",1.2,36.99,"76,930",0.7,30.75,"63,960"
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"115,750",1.6,27.4,"57,000",1.3,24.32,"50,580"
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"53,150",0.6,29.83,"62,040",0.4,26.75,"55,640"
13-2082,Tax Preparers,detailed,"62,600",2.9,25.34,"52,710",2.2,21.3,"44,300"
13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,"460,250",0.9,46.46,"96,630",0.7,40.22,"83,660"
15-0000,Computer and Mathematical Occupations,major,"4,587,700",0.5,46.53,"96,770",0.5,43.92,"91,350"
15-1200,Computer Occupations,minor,"4,368,000",0.5,46.46,"96,630",0.6,43.87,"91,250"
15-1210,Computer and Information Analysts,broad,"712,460",0.9,48.4,"100,680",0.3,45.91,"95,490"
15-1211,Computer Systems Analysts,detailed,"574,450",1,47.61,"99,020",0.4,45.06,"93,730"
15-1212,Information Security Analysts,detailed,"138,000",1.7,51.72,"107,580",0.4,49.8,"103,590"
15-1220,Computer and Information Research Scientists,broad,"30,220",3.3,62.93,"130,890",1.4,60.97,"126,830"
15-1221,Computer and Information Research Scientists,detailed,"30,220",3.3,62.93,"130,890",1.4,60.97,"126,830"
15-1230,Computer Support Specialists,broad,"819,040",0.7,28.92,"60,160",0.3,26.69,"55,510"
15-1231,Computer Network Support Specialists,detailed,"184,220",1.4,34.16,"71,040",0.5,31.47,"65,450"
15-1232,Computer User Support Specialists,detailed,"634,820",0.8,27.4,"57,000",0.3,25.33,"52,690"
15-1240,Database and Network Administrators and Architects,broad,"632,540",0.7,47.8,"99,420",0.3,45.37,"94,380"
15-1241,Computer Network Architects,detailed,"159,350",1.6,57.32,"119,230",0.6,56.14,"116,780"
15-1244,Network and Computer Systems Administrators,detailed,"339,560",0.8,43.01,"89,460",0.3,40.77,"84,810"
15-1245,Database Administrators and Architects,detailed,"133,630",1.1,48.6,"101,090",0.4,47.53,"98,860"
15-1250,"Software and Web Developers, Programmers, and Testers",broad,"1,811,160",0.8,52.86,"109,950",0.9,50.63,"105,310"
15-1251,Computer Programmers,detailed,"178,140",1.8,45.98,"95,640",1.6,42.88,"89,190"
15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,"1,476,800",0.9,54.94,"114,270",0.7,52.95,"110,140"
15-1257,Web Developers and Digital Interface Designers,detailed,"156,220",1.6,41.1,"85,490",3.6,37.12,"77,200"
15-1290,Miscellaneous Computer Occupations,broad,"362,580",1,46.51,"96,740",0.6,44.65,"92,870"
15-1299,"Computer Occupations, All Other",detailed,"362,580",1,46.51,"96,740",0.6,44.65,"92,870"
15-2000,Mathematical Science Occupations,minor,"219,700",1.2,47.93,"99,700",0.5,44.79,"93,170"
15-2010,Actuaries,broad,"22,480",3.3,59.22,"123,180",1.1,53.38,"111,030"
15-2011,Actuaries,detailed,"22,480",3.3,59.22,"123,180",1.1,53.38,"111,030"
15-2020,Mathematicians,broad,"2,460",7.9,54.1,"112,530",1.7,53.3,"110,860"
15-2021,Mathematicians,detailed,"2,460",7.9,54.1,"112,530",1.7,53.3,"110,860"
15-2030,Operations Research Analysts,broad,"96,220",1.7,44.37,"92,280",0.6,41.44,"86,200"
15-2031,Operations Research Analysts,detailed,"96,220",1.7,44.37,"92,280",0.6,41.44,"86,200"
15-2040,Statisticians,broad,"38,860",2.7,46.72,"97,170",1.1,44.36,"92,270"
15-2041,Statisticians,detailed,"38,860",2.7,46.72,"97,170",1.1,44.36,"92,270"
15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,"59,680",2.4,49.97,"103,930",0.8,47.23,"98,230"
17-0000,Architecture and Engineering Occupations,major,"2,515,040",0.5,43.41,"90,300",0.3,39.98,"83,160"
17-1000,"Architects, Surveyors, and Cartographers",minor,"180,930",1.2,39.44,"82,030",0.6,36.63,"76,190"
17-1010,"Architects, Except Naval",broad,"124,630",1.5,41.89,"87,130",0.8,38.63,"80,350"
17-1011,"Architects, Except Landscape and Naval",detailed,"103,900",1.7,43.01,"89,470",0.9,39.58,"82,320"
17-1012,Landscape Architects,detailed,"20,730",5.2,36.27,"75,440",1.3,33.96,"70,630"
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"56,310",2.2,34.01,"70,740",0.6,31.85,"66,250"
17-1021,Cartographers and Photogrammetrists,detailed,"12,600",6.9,34.82,"72,420",1.2,32.88,"68,380"
17-1022,Surveyors,detailed,"43,710",2,33.78,"70,260",0.7,31.54,"65,590"
17-2000,Engineers,minor,"1,673,440",0.6,49.28,"102,500",0.3,46.3,"96,310"
17-2010,Aerospace Engineers,broad,"60,630",3.1,58.23,"121,110",0.8,57.02,"118,610"
17-2011,Aerospace Engineers,detailed,"60,630",3.1,58.23,"121,110",0.8,57.02,"118,610"
17-2020,Agricultural Engineers,broad,"1,440",10.3,48.86,"101,620",11.5,40.58,"84,410"
17-2021,Agricultural Engineers,detailed,"1,440",10.3,48.86,"101,620",11.5,40.58,"84,410"
17-2030,Bioengineers and Biomedical Engineers,broad,"18,660",4.9,47.28,"98,340",1.1,44.53,"92,620"
17-2031,Bioengineers and Biomedical Engineers,detailed,"18,660",4.9,47.28,"98,340",1.1,44.53,"92,620"
17-2040,Chemical Engineers,broad,"25,770",2.6,55.2,"114,820",0.9,52.18,"108,540"
17-2041,Chemical Engineers,detailed,"25,770",2.6,55.2,"114,820",0.9,52.18,"108,540"
17-2050,Civil Engineers,broad,"300,850",1,45.88,"95,440",0.4,42.58,"88,570"
17-2051,Civil Engineers,detailed,"300,850",1,45.88,"95,440",0.4,42.58,"88,570"
17-2060,Computer Hardware Engineers,broad,"64,710",3.9,60.65,"126,140",1.8,57.48,"119,560"
17-2061,Computer Hardware Engineers,detailed,"64,710",3.9,60.65,"126,140",1.8,57.48,"119,560"
17-2070,Electrical and Electronics Engineers,broad,"307,540",1.2,52.17,"108,510",0.4,49.71,"103,390"
17-2071,Electrical Engineers,detailed,"185,220",1.4,50.96,"105,990",0.5,48.48,"100,830"
17-2072,"Electronics Engineers, Except Computer",detailed,"122,320",1.8,54,"112,320",0.6,51.7,"107,540"
17-2080,Environmental Engineers,broad,"50,260",2,46.58,"96,890",0.7,44.29,"92,120"
17-2081,Environmental Engineers,detailed,"50,260",2,46.58,"96,890",0.7,44.29,"92,120"
17-2110,"Industrial Engineers, Including Health and Safety",broad,"313,980",1.3,45.14,"93,890",0.3,42.93,"89,290"
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"23,780",2.2,46.8,"97,330",0.7,45.31,"94,240"
17-2112,Industrial Engineers,detailed,"290,190",1.4,45.01,"93,610",0.3,42.76,"88,950"
17-2120,Marine Engineers and Naval Architects,broad,"8,700",7.8,47.88,"99,590",1.6,45.89,"95,440"
17-2121,Marine Engineers and Naval Architects,detailed,"8,700",7.8,47.88,"99,590",1.6,45.89,"95,440"
17-2130,Materials Engineers,broad,"24,740",2.5,48.34,"100,550",0.9,45.98,"95,640"
17-2131,Materials Engineers,detailed,"24,740",2.5,48.34,"100,550",0.9,45.98,"95,640"
17-2140,Mechanical Engineers,broad,"293,960",1.4,45.94,"95,560",0.4,43.35,"90,160"
17-2141,Mechanical Engineers,detailed,"293,960",1.4,45.94,"95,560",0.4,43.35,"90,160"
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"6,270",6,48.15,"100,140",1.7,45.1,"93,800"
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"6,270",6,48.15,"100,140",1.7,45.1,"93,800"
17-2160,Nuclear Engineers,broad,"15,700",4.1,60.16,"125,130",2.9,55.84,"116,140"
17-2161,Nuclear Engineers,detailed,"15,700",4.1,60.16,"125,130",2.9,55.84,"116,140"
17-2170,Petroleum Engineers,broad,"27,850",5.1,74.2,"154,330",2.4,66.02,"137,330"
17-2171,Petroleum Engineers,detailed,"27,850",5.1,74.2,"154,330",2.4,66.02,"137,330"
17-2190,Miscellaneous Engineers,broad,"152,380",1.7,51.47,"107,060",0.8,49.7,"103,380"
17-2199,"Engineers, All Other",detailed,"152,380",1.7,51.47,"107,060",0.8,49.7,"103,380"
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"660,660",0.7,29.64,"61,660",0.2,28.32,"58,900"
17-3010,Drafters,broad,"187,670",1.2,29.03,"60,390",0.3,27.87,"57,960"
17-3011,Architectural and Civil Drafters,detailed,"99,180",1.7,28.42,"59,120",0.4,27.64,"57,500"
17-3012,Electrical and Electronics Drafters,detailed,"23,020",3.9,31.59,"65,720",1.1,29.85,"62,100"
17-3013,Mechanical Drafters,detailed,"51,620",1.7,29.56,"61,490",0.5,28.01,"58,270"
17-3019,"Drafters, All Other",detailed,"13,850",4.1,27.18,"56,530",1,26.2,"54,500"
17-3020,"Engineering Technologists and Technicians, Except Drafters",broad,"419,620",0.9,30.64,"63,740",0.3,29.33,"61,000"
17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,"11,900",7.2,33.98,"70,680",1.3,32.97,"68,570"
17-3022,Civil Engineering Technologists and Technicians,detailed,"67,270",1.7,27.21,"56,590",0.5,26,"54,080"
17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,"115,270",1.5,32.84,"68,310",0.4,32.48,"67,550"
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,"13,160",3.9,30.19,"62,800",1.2,28.75,"59,800"
17-3025,Environmental Engineering Technologists and Technicians,detailed,"17,070",3.9,27.2,"56,570",1.2,24.82,"51,630"
17-3026,Industrial Engineering Technologists and Technicians,detailed,"62,980",3.3,28.81,"59,920",0.7,27.56,"57,320"
17-3027,Mechanical Engineering Technologists and Technicians,detailed,"39,880",2.2,29.27,"60,880",0.8,28,"58,230"
17-3030,Surveying and Mapping Technicians,broad,"53,370",3,23.93,"49,770",0.5,22.21,"46,200"
17-3031,Surveying and Mapping Technicians,detailed,"53,370",3,23.93,"49,770",0.5,22.21,"46,200"
17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,"92,100",1.7,32.52,"67,640",0.8,30.86,"64,190"
19-0000,"Life, Physical, and Social Science Occupations",major,"1,296,060",0.7,38.15,"79,360",0.4,33.54,"69,760"
19-1000,Life Scientists,minor,"311,840",2,44.09,"91,710",0.8,39.01,"81,130"
19-1010,Agricultural and Food Scientists,broad,"29,710",2.8,36.69,"76,320",1,33.09,"68,830"
19-1011,Animal Scientists,detailed,"2,680",7.3,35.84,"74,540",2.3,30.52,"63,490"
19-1012,Food Scientists and Technologists,detailed,"13,080",3.9,38.55,"80,190",1.4,35.31,"73,450"
19-1013,Soil and Plant Scientists,detailed,"13,950",4.6,35.12,"73,040",1.5,31.79,"66,120"
19-1020,Biological Scientists,broad,"110,600",4,44.01,"91,550",1.3,40.01,"83,220"
19-1021,Biochemists and Biophysicists,detailed,"32,010",8,50.39,"104,810",2,45.32,"94,270"
19-1022,Microbiologists,detailed,"19,710",9.8,44.15,"91,840",3.6,40.58,"84,400"
19-1023,Zoologists and Wildlife Biologists,detailed,"17,200",2.1,33.9,"70,510",0.6,31.9,"66,350"
19-1029,"Biological Scientists, All Other",detailed,"41,680",2.5,43.22,"89,910",0.7,41,"85,290"
19-1030,Conservation Scientists and Foresters,broad,"31,380",1.8,32.75,"68,120",0.7,30.78,"64,010"
19-1031,Conservation Scientists,detailed,"22,020",1.9,33.18,"69,020",0.9,30.78,"64,020"
19-1032,Foresters,detailed,"9,360",3.9,31.73,"66,000",1.3,30.76,"63,980"
19-1040,Medical Scientists,broad,"133,620",2.9,48.45,"100,780",1.1,43.28,"90,010"
19-1041,Epidemiologists,detailed,"7,500",2.1,40.2,"83,620",1.3,35.84,"74,560"
19-1042,"Medical Scientists, Except Epidemiologists",detailed,"126,110",3.1,48.94,"101,800",1.1,43.99,"91,510"
19-1090,Miscellaneous Life Scientists,broad,"6,540",6.1,44.31,"92,170",3.3,39.42,"82,000"
19-1099,"Life Scientists, All Other",detailed,"6,540",6.1,44.31,"92,170",3.3,39.42,"82,000"
19-2000,Physical Scientists,minor,"255,860",1.2,44.98,"93,560",0.7,40.03,"83,250"
19-2010,Astronomers and Physicists,broad,"18,080",4.7,65.62,"136,480",1.9,62,"128,950"
19-2011,Astronomers,detailed,"1,910",7.2,60.7,"126,250",3.4,57.56,"119,730"
19-2012,Physicists,detailed,"16,160",5.1,66.2,"137,700",2,62.43,"129,850"
19-2020,Atmospheric and Space Scientists,broad,"10,210",4.8,48.34,"100,550",1.4,47.95,"99,740"
19-2021,Atmospheric and Space Scientists,detailed,"10,210",4.8,48.34,"100,550",1.4,47.95,"99,740"
19-2030,Chemists and Materials Scientists,broad,"89,860",1.9,42.21,"87,800",0.8,38.79,"80,680"
19-2031,Chemists,detailed,"82,940",2,41.54,"86,410",0.8,38.13,"79,300"
19-2032,Materials Scientists,detailed,"6,930",7,50.21,"104,450",1.7,47.82,"99,460"
19-2040,Environmental Scientists and Geoscientists,broad,"118,660",1.6,42.37,"88,140",1,37.27,"77,520"
19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"84,610",2,38.5,"80,090",0.9,35.21,"73,230"
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"27,890",3.2,53.9,"112,110",2.3,44.99,"93,580"
19-2043,Hydrologists,detailed,"6,170",3.8,43.34,"90,150",1.4,40.41,"84,040"
19-2090,Miscellaneous Physical Scientists,broad,"19,050",2.3,52.93,"110,100",1.6,51.55,"107,210"
19-2099,"Physical Scientists, All Other",detailed,"19,050",2.3,52.93,"110,100",1.6,51.55,"107,210"
19-3000,Social Scientists and Related Workers,minor,"247,580",1.1,43.34,"90,150",0.6,39.56,"82,280"
19-3010,Economists,broad,"17,520",3.3,58.11,"120,880",1.5,52.09,"108,350"
19-3011,Economists,detailed,"17,520",3.3,58.11,"120,880",1.5,52.09,"108,350"
19-3020,Survey Researchers,broad,"10,350",5.4,32.19,"66,960",2.4,28.79,"59,870"
19-3022,Survey Researchers,detailed,"10,350",5.4,32.19,"66,960",2.4,28.79,"59,870"
19-3030,Psychologists,broad,"127,070",1.6,43.61,"90,710",0.9,39.51,"82,180"
19-3031,"Clinical, Counseling, and School Psychologists",detailed,"111,320",1.5,42.93,"89,290",1.1,38.37,"79,820"
19-3032,Industrial-Organizational Psychologists,detailed,780,13.3,54.18,"112,690",5.8,46.28,"96,270"
19-3039,"Psychologists, All Other",detailed,"14,960",8.1,48.14,"100,130",1.8,50.86,"105,780"
19-3040,Sociologists,broad,"2,470",8,44.91,"93,420",2.3,41.4,"86,110"
19-3041,Sociologists,detailed,"2,470",8,44.91,"93,420",2.3,41.4,"86,110"
19-3050,Urban and Regional Planners,broad,"38,190",1.8,38.18,"79,410",0.6,36.52,"75,950"
19-3051,Urban and Regional Planners,detailed,"38,190",1.8,38.18,"79,410",0.6,36.52,"75,950"
19-3090,Miscellaneous Social Scientists and Related Workers,broad,"51,980",1.8,43.63,"90,750",1.7,41.29,"85,890"
19-3091,Anthropologists and Archeologists,detailed,"7,180",6.8,33.64,"69,960",1.4,31.79,"66,130"
19-3092,Geographers,detailed,"1,450",2.5,41.16,"85,620",1.4,41.07,"85,430"
19-3093,Historians,detailed,"2,770",4.4,32.88,"68,400",2.7,30.33,"63,100"
19-3094,Political Scientists,detailed,"6,010",5.3,59.66,"124,100",2.4,60.27,"125,350"
